"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX"
"49","53.81","53.81","53.81","72.68000000000002","72.68000000000002","72.68000000000002","74.761","74.761","74.761","86.69100000000002","86.69100000000002","86.69100000000002","87.16899999999998","87.16899999999998","87.16899999999998","86.945","86.945","86.945","89.39600000000002","89.39600000000002","89.39600000000002"
"50","53.785999999999994","53.785999999999994","53.785999999999994","73.69699999999999","73.69699999999999","73.69699999999999","74.709","74.709","74.709","86.66","86.66","86.66","87.216","87.216","87.216","86.93100000000001","86.93100000000001","86.93100000000001","89.40100000000001","89.40100000000001","89.40100000000001"
"51","54.40699999999999","54.40699999999999","54.40699999999999","73.88800000000002","73.88800000000002","73.88800000000002","74.93699999999998","74.93699999999998","74.93699999999998","86.65800000000002","86.65800000000002","86.65800000000002","86.98600000000002","86.98600000000002","86.98600000000002","86.83600000000001","86.83600000000001","86.83600000000001","89.409","89.409","89.409"
"52","56.52900000000001","56.52900000000001","56.52900000000001","73.06699999999998","73.06699999999998","73.06699999999998","74.071","74.071","74.071","86.54199999999999","86.54199999999999","86.54199999999999","87.09199999999998","87.09199999999998","87.09199999999998","86.85100000000001","86.85100000000001","86.85100000000001","89.41300000000001","89.41300000000001","89.41300000000001"
"53","55.16599999999999","55.16599999999999","55.16599999999999","73.44499999999998","73.44499999999998","73.44499999999998","75.045","75.045","75.045","86.46699999999998","86.46699999999998","86.46699999999998","87.05800000000002","87.05800000000002","87.05800000000002","86.78199999999998","86.78199999999998","86.78199999999998","89.42199999999998","89.42199999999998","89.42199999999998"
"54","57.07900000000001","57.07900000000001","57.07900000000001","73.789","73.789","73.789","75.264","75.264","75.264","86.47","86.47","86.47","87.05899999999998","87.05899999999998","87.05899999999998","86.76100000000001","86.76100000000001","86.76100000000001","89.42899999999999","89.42899999999999","89.42899999999999"
"55","55.298000000000016","55.298000000000016","55.298000000000016","72.99199999999999","72.99199999999999","72.99199999999999","74.164","74.164","74.164","86.50899999999999","86.50899999999999","86.50899999999999","86.95399999999998","86.95399999999998","86.95399999999998","86.73899999999999","86.73899999999999","86.73899999999999","89.43699999999998","89.43699999999998","89.43699999999998"
"56","56.690999999999995","56.690999999999995","56.690999999999995","73.24699999999999","73.24699999999999","73.24699999999999","75.105","75.105","75.105","86.40100000000001","86.40100000000001","86.40100000000001","86.86699999999999","86.86699999999999","86.86699999999999","86.63899999999998","86.63899999999998","86.63899999999998","89.44399999999999","89.44399999999999","89.44399999999999"
"57","57.47099999999999","57.47099999999999","57.47099999999999","73.31999999999998","73.31999999999998","73.31999999999998","73.765","73.765","73.765","86.34800000000001","86.34800000000001","86.34800000000001","86.731","86.731","86.731","86.655","86.655","86.655","89.45199999999998","89.45199999999998","89.45199999999998"
"58","55.76599999999999","55.76599999999999","55.76599999999999","73.34699999999998","73.34699999999998","73.34699999999998","74.43199999999999","74.43199999999999","74.43199999999999","86.28800000000001","86.28800000000001","86.28800000000001","86.79699999999998","86.79699999999998","86.79699999999998","86.64800000000001","86.64800000000001","86.64800000000001","89.46199999999999","89.46199999999999","89.46199999999999"
